STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.0191,-74.2334,149.4,2/13/18,,,0,0,0,,,,,,,,,,,
US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.0191,-74.2334,149.4,2/14/18,,,0.01,,0,,,,,,,,,,,
US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.0191,-74.2334,149.4,2/15/18,,,0.06,0,0,,,,,,,,,,,
US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.0191,-74.2334,149.4,2/16/18,,,0.13,0,0,,,,,,,,,,,
US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.0191,-74.2334,149.4,2/17/18,,,0.01,0,0,,,,,,,,,,,
US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.0191,-74.2334,149.4,2/18/18,,,0.69,8,8,,,,,,,,,,,
US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.0191,-74.2334,149.4,2/19/18,,,0,0,4,,,,,,,,,,,
US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.0191,-74.2334,149.4,2/20/18,,,0.05,0,0,,,,,,,,,,,
US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.0191,-74.2334,149.4,2/21/18,,,0,0,0,,,,,,,,,,,
US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.0191,-74.2334,149.4,2/22/18,,,0.08,0,0,,,,,,,,,,,
US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.0191,-74.2334,149.4,2/23/18,,,0.23,0,0,,,,,,,,,,,
US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.0191,-74.2334,149.4,2/24/18,,,0.22,0,0,,,,,,,,,,,
US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.0191,-74.2334,149.4,2/25/18,,,0.81,0,0,,,,,,,,,,,
US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.0191,-74.2334,149.4,2/26/18,,,0.24,0,0,,,,,,,,,,,
US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.0191,-74.2334,149.4,2/27/18,,,0,0,0,,,,,,,,,,,
US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.0191,-74.2334,149.4,2/28/18,,,0,0,0,,,,,,,,,,,
US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.0191,-74.2334,149.4,3/1/18,,,0,0,0,,,,,,,,,,,
US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.0191,-74.2334,149.4,3/2/18,,,1.31,0,0,,,,,,,,,,,
US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.0191,-74.2334,149.4,3/3/18,,,0.82,2,2,,,,,,,,,,,
US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.0191,-74.2334,149.4,3/4/18,,,0,0,0,,,,,,,,,,,
