STATION,date,ENTRIES,EXITS
15 ST-PROSPECT,2018-03-08,6692.0,3625.0
15 ST-PROSPECT,2018-03-09,6579.0,3396.0
155 ST,2018-03-03,3494.0,2144.0
155 ST,2018-03-04,2594.0,1858.0
155 ST,2018-03-05,6078.0,3300.0
155 ST,2018-03-06,6505.0,3277.0
155 ST,2018-03-07,4929.0,2869.0
155 ST,2018-03-08,6306.0,3325.0
155 ST,2018-03-09,6573.0,3265.0
157 ST,2018-03-03,6836.0,3851.0
157 ST,2018-03-04,5952.0,3767.0
157 ST,2018-03-05,10292.0,5540.0
157 ST,2018-03-06,10691.0,5892.0
157 ST,2018-03-07,8047.0,4761.0
157 ST,2018-03-08,10542.0,5472.0
157 ST,2018-03-09,10610.0,5564.0
161/YANKEE STAD,2018-03-03,9791.0,5670.0
161/YANKEE STAD,2018-03-04,7417.0,4774.0
161/YANKEE STAD,2018-03-05,19618.0,10350.0
161/YANKEE STAD,2018-03-06,20203.0,10354.0
161/YANKEE STAD,2018-03-07,14265.0,7352.0
161/YANKEE STAD,2018-03-08,18902.0,9660.0
161/YANKEE STAD,2018-03-09,19412.0,10451.0
163 ST-AMSTERDM,2018-03-03,2779.0,794.0
163 ST-AMSTERDM,2018-03-04,2138.0,677.0
163 ST-AMSTERDM,2018-03-05,4026.0,870.0
163 ST-AMSTERDM,2018-03-06,4368.0,930.0
163 ST-AMSTERDM,2018-03-07,3423.0,915.0
163 ST-AMSTERDM,2018-03-08,4284.0,866.0
163 ST-AMSTERDM,2018-03-09,4302.0,926.0
167 ST,2018-03-03,11149.0,5235.0
167 ST,2018-03-04,8237.0,4257.0
167 ST,2018-03-05,18901.0,11676.0
167 ST,2018-03-06,19316.0,11829.0
167 ST,2018-03-07,14298.0,9125.0
167 ST,2018-03-08,19002.0,12472.0
167 ST,2018-03-09,19358.0,11670.0
168 ST,2018-03-03,15098.0,8515.0
168 ST,2018-03-04,14379.0,10013.0
168 ST,2018-03-05,25560.0,17586.0
168 ST,2018-03-06,26872.0,18433.0
